,oldID-poseID,Class,if_X_fa_atr,if_X_fa_elec,if_X_fa_pair,if_X_fa_rep,if_X_fa_sol,if_X_hbond_bb_sc,if_X_hbond_sc,interface_delta_X,total_score_X
148,SUBS114-0079,0,-17.25821438974199,0.0866664486426361,0.0,3.924053001413722,6.654196283851434,0.0,-1.498886273401121,-8.092184929235373,-67.0
149,SUBS114-0632,0,-13.42011126707803,-1.053453875330848,0.0,3.238607522049824,4.431480381767051,0.0,-1.855039183995626,-8.658516422587127,-58.0
150,SUBS114-0642,0,-10.03537174458761,-0.030010713146471,0.0,0.6868830854558837,1.389847357343569,0.0,0.0,-7.988652014934814,-56.0
151,SUBS114-0753,0,-14.23122448825197,-0.9676071328992212,0.0,2.408586608492442,7.384160810368757,0.0,-2.981129229700882,-8.387213431990858,-50.0
152,SUBS114-0138,0,-13.05464441418662,-0.1289455948038369,0.0,1.301547352455236,3.361208758170051,0.0,-0.7347521536253417,-9.255586051990122,-64.0
153,SUBS114-0937,0,-11.37987210460742,0.0902589565540893,0.0,2.217447086754964,1.59921893532146,0.0,-0.11992318145887,-7.592870307435533,-57.0
154,SUBS114-0962,0,-13.69890716456212,-1.067135210816715,0.0,2.67502799863205,6.368780963410972,0.0,-2.848910483649262,-8.571143896985177,-61.0
155,SUBS114-0270,0,-14.1492455642343,0.4671920114147883,0.0,1.170178590520663,4.509526444621042,0.0,-0.123319167783486,-8.12566768546094,-58.0
156,SUBS114-0290,0,-9.011539060660652,-0.8759744323889492,0.0,0.9250270412937426,3.958824730668312,0.0,-2.618169850558465,-7.621831571645998,-42.0
157,SUBS114-0576,0,-13.30523469983164,-0.8899182588733038,0.0,3.327756354601388,4.335491087043283,0.0,-1.398283120652498,-7.930188637712945,-59.0
158,SUBS114-0241,0,-9.486483666721687,-1.761561335501705,0.0,0.9415089190886649,4.234888911621783,0.0,-3.702837651223882,-9.774484822736667,-54.0
159,SUBS114-0409,0,-14.13735908200943,-1.212443685664191,0.0,2.331532733111999,7.805885964395747,0.0,-2.645368698162975,-7.857752768328737,-57.0
160,SUBS114-0341,0,-15.32682281451635,-1.311299865057455,0.0,1.431479347689765,8.310804349601039,0.0,-2.704152222282102,-9.599991204564958,-58.0
161,SUBS114-0868,0,-12.54923057831547,-1.17607703735566,0.0,2.138027352545214,6.748604317132504,-1.501835025014132,-1.330518689514473,-7.671029660522436,-56.0
162,SUBS114-0727,0,-13.19515427923288,-0.0746604373838999,0.0,1.104168192774978,4.285191869182472,0.0,-1.504792614639422,-9.38524726929927,-58.0
163,SUBS114-0946,0,-12.64422208180404,-0.492563201984467,0.0,1.970555234094263,4.210990786152069,0.0,-1.509616888095619,-8.464856151637832,-56.0
164,SUBS114-0424,0,-11.55412045226549,-0.4157433489708603,0.0,0.6607896715378957,4.075249801164682,0.0,-1.077365122224028,-8.31118945075741,-56.0
165,SUBS114-0553,0,-12.05720445882507,0.1954596986032368,0.0,0.6583677824097323,3.689654940445689,0.0,-0.1286470336964385,-7.642369071063058,-54.0
166,SUBS114-0121,0,-13.32899844623644,-0.8017557969129007,0.0,2.492909787688768,6.438014924060735,0.0,-2.496643242689055,-7.696472774089216,-60.0
